time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
2021-09-29 11:08:48.500430-04:00,18.18,732,18.19,2532,16.59,4073,16.6,2308
2021-09-29 11:08:48.500430-04:00,18.18,169,18.19,2630,16.59,4073,16.6,2308
2021-09-29 11:08:48.500430-04:00,18.18,169,18.19,2630,16.59,4059,16.6,2819
2021-09-29 11:08:48.500430-04:00,18.18,169,18.19,2630,16.59,4059,16.6,2819
2021-09-29 11:08:58.338127-04:00,18.18,169,18.19,2630,16.59,4219,16.6,2819
2021-09-29 11:08:58.338127-04:00,18.17,2283,18.18,741,16.59,4219,16.6,2819
2021-09-29 11:08:58.338127-04:00,18.17,2283,18.18,741,16.59,4219,16.6,2819
2021-09-29 11:08:58.338127-04:00,18.17,2283,18.18,741,16.59,4219,16.6,2819
2021-09-29 11:09:08.452089-04:00,18.17,2283,18.18,741,16.59,4219,16.6,2819
2021-09-29 11:09:08.452089-04:00,18.17,2283,18.18,741,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3408,18.18,54,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3408,18.18,54,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3408,18.18,54,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3408,18.18,54,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3408,18.18,54,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3564,18.18,64,16.59,4046,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3564,18.18,64,16.59,4049,16.6,2831
2021-09-29 11:09:08.452089-04:00,18.17,3564,18.18,64,16.59,4049,16.6,2831
2021-09-29 11:09:28.856556-04:00,18.17,3564,18.18,64,16.59,4049,16.6,2739
2021-09-29 11:09:28.856556-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2739
2021-09-29 11:09:28.856556-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2739
2021-09-29 11:09:28.856556-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2739
2021-09-29 11:09:28.856556-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2739
2021-09-29 11:09:28.856556-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2739
2021-09-29 11:09:38.603516-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2739
2021-09-29 11:09:38.603516-04:00,18.18,1446,18.19,2292,16.59,4049,16.6,2734
2021-09-29 11:09:38.603516-04:00,18.18,709,18.19,2423,16.59,4049,16.6,2734
2021-09-29 11:09:38.603516-04:00,18.18,709,18.19,2423,16.59,4049,16.6,2734
2021-09-29 11:09:38.603516-04:00,18.18,709,18.19,2423,16.59,4049,16.6,2810
2021-09-29 11:09:38.603516-04:00,18.18,709,18.19,2423,16.59,4049,16.6,2810
2021-09-29 11:09:38.603516-04:00,18.18,709,18.19,2423,16.59,4049,16.6,2810
2021-09-29 11:09:38.603516-04:00,18.18,605,18.19,2454,16.59,4049,16.6,2810
2021-09-29 11:09:38.603516-04:00,18.18,605,18.19,2454,16.59,4049,16.6,2810
2021-09-29 11:09:38.603516-04:00,18.18,605,18.19,2454,16.59,4049,16.6,2748
2021-09-29 11:09:38.603516-04:00,18.18,745,18.19,2441,16.59,4049,16.6,2748
2021-09-29 11:09:38.603516-04:00,18.18,745,18.19,2441,16.59,4049,16.6,2748
2021-09-29 11:09:38.603516-04:00,18.18,745,18.19,2441,16.59,4049,16.6,2748
2021-09-29 11:10:09.176289-04:00,18.18,686,18.19,2633,16.59,4049,16.6,2748
2021-09-29 11:10:09.176289-04:00,18.18,686,18.19,2633,16.59,4049,16.6,2825
2021-09-29 11:10:09.176289-04:00,18.18,686,18.19,2633,16.59,4049,16.6,2825
2021-09-29 11:10:09.176289-04:00,18.18,686,18.19,2633,16.59,4049,16.6,2825
2021-09-29 11:10:18.415818-04:00,18.18,686,18.19,2633,16.59,4261,16.6,2776
2021-09-29 11:10:18.415818-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:18.415818-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:18.415818-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:18.415818-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:18.415818-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:18.415818-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:28.450095-04:00,18.17,2555,18.18,296,16.59,4261,16.6,2776
2021-09-29 11:10:28.450095-04:00,18.17,566,18.18,2220,16.59,3129,16.6,3806
2021-09-29 11:10:28.450095-04:00,18.17,566,18.18,2220,16.59,3129,16.6,3806
2021-09-29 11:10:38.624787-04:00,18.17,566,18.18,2220,16.59,3129,16.6,3806
2021-09-29 11:10:38.624787-04:00,18.17,566,18.18,2220,16.59,3049,16.6,3869
2021-09-29 11:10:38.624787-04:00,18.17,195,18.18,2179,16.59,3049,16.6,3869
2021-09-29 11:10:38.624787-04:00,18.17,195,18.18,2179,16.59,3049,16.6,3869
2021-09-29 11:10:38.624787-04:00,18.17,195,18.18,2179,16.59,3049,16.6,3869
2021-09-29 11:10:38.624787-04:00,18.17,195,18.18,2179,16.59,3049,16.6,3869
2021-09-29 11:10:49.400451-04:00,18.17,195,18.18,2179,16.59,3049,16.6,3869
2021-09-29 11:10:49.400451-04:00,18.17,2630,18.18,430,16.59,3211,16.6,3181
2021-09-29 11:10:49.400451-04:00,18.17,2630,18.18,430,16.59,3211,16.6,3181
2021-09-29 11:10:57.366994-04:00,18.17,2630,18.18,430,16.59,3211,16.6,3181
2021-09-29 11:10:57.366994-04:00,18.17,2630,18.18,430,16.59,3211,16.6,3181
2021-09-29 11:10:57.366994-04:00,18.17,3483,18.18,163,16.59,4101,16.6,3038
2021-09-29 11:10:59.272585-04:00,18.17,3483,18.18,163,16.59,4101,16.6,3038
2021-09-29 11:10:59.272585-04:00,18.17,3483,18.18,163,16.59,4101,16.6,3038
2021-09-29 11:10:59.272585-04:00,18.17,3483,18.18,163,16.59,3901,16.6,2798
2021-09-29 11:11:07.262222-04:00,18.17,3483,18.18,163,16.59,3901,16.6,2798
2021-09-29 11:11:07.262222-04:00,18.18,699,18.19,2531,16.59,3901,16.6,2798
2021-09-29 11:11:17.282434-04:00,18.18,699,18.19,2531,16.59,3901,16.6,2798
2021-09-29 11:11:17.282434-04:00,18.18,699,18.19,2531,16.59,3901,16.6,2798
2021-09-29 11:11:17.282434-04:00,18.18,699,18.19,2531,16.59,4166,16.6,2646
2021-09-29 11:11:17.282434-04:00,18.18,699,18.19,2531,16.59,4166,16.6,2646
2021-09-29 11:11:17.282434-04:00,18.17,4196,18.18,62,16.59,4166,16.6,2646
2021-09-29 11:11:19.325019-04:00,18.17,4196,18.18,62,16.59,4166,16.6,2646
2021-09-29 11:11:19.325019-04:00,18.17,4196,18.18,62,16.59,4166,16.6,2646
2021-09-29 11:11:19.325019-04:00,18.17,4196,18.18,62,16.59,4169,16.6,2761
2021-09-29 11:11:25.486542-04:00,18.17,4196,18.18,62,16.59,4169,16.6,2761
2021-09-29 11:11:25.486542-04:00,18.17,4196,18.18,62,16.59,4169,16.6,2761
2021-09-29 11:11:29.789992-04:00,18.18,1286,18.19,2579,16.59,4169,16.6,2761
2021-09-29 11:11:29.789992-04:00,18.18,1286,18.19,2579,16.59,4169,16.6,2761
2021-09-29 11:11:29.789992-04:00,18.18,1286,18.19,2579,16.59,4169,16.6,2761
2021-09-29 11:11:29.789992-04:00,18.18,1286,18.19,2579,16.59,4307,16.6,1897
2021-09-29 11:11:38.390001-04:00,18.18,1926,18.19,749,16.59,4307,16.6,1897
2021-09-29 11:11:38.390001-04:00,18.18,1926,18.19,749,16.59,4307,16.6,1897
2021-09-29 11:11:38.390001-04:00,18.18,1926,18.19,749,16.59,4307,16.6,1897
2021-09-29 11:11:38.390001-04:00,18.18,769,18.19,2601,16.59,4307,16.6,1897
2021-09-29 11:11:38.390001-04:00,18.18,769,18.19,2601,16.59,4199,16.6,2749
2021-09-29 11:11:48.363334-04:00,18.18,769,18.19,2601,16.59,4199,16.6,2749
2021-09-29 11:11:48.363334-04:00,18.18,769,18.19,2601,16.59,4199,16.6,2749
2021-09-29 11:11:48.363334-04:00,18.18,769,18.19,2601,16.59,4199,16.6,2749
2021-09-29 11:11:48.363334-04:00,18.18,769,18.19,2601,16.59,4199,16.6,2749
2021-09-29 11:11:57.366264-04:00,18.18,769,18.19,2601,16.59,4199,16.6,2749
2021-09-29 11:11:57.366264-04:00,18.18,769,18.19,2601,16.59,4442,16.6,2812
2021-09-29 11:11:57.366264-04:00,18.18,611,18.19,2562,16.59,4442,16.6,2812
2021-09-29 11:11:57.366264-04:00,18.18,611,18.19,2562,16.59,4442,16.6,2812
2021-09-29 11:12:05.461709-04:00,18.18,611,18.19,2562,16.59,4442,16.6,2812
2021-09-29 11:12:05.461709-04:00,18.18,611,18.19,2562,16.59,4442,16.6,2812
2021-09-29 11:12:05.461709-04:00,18.18,611,18.19,2562,16.59,3629,16.6,2814
2021-09-29 11:12:05.461709-04:00,18.17,2265,18.18,730,16.59,3629,16.6,2814
2021-09-29 11:12:05.461709-04:00,18.17,2265,18.18,730,16.59,3629,16.6,2814
2021-09-29 11:12:05.461709-04:00,18.17,2265,18.18,730,16.59,3629,16.6,2814
2021-09-29 11:12:05.461709-04:00,18.17,2265,18.18,730,16.59,3730,16.6,2925
2021-09-29 11:12:18.633560-04:00,18.17,2265,18.18,730,16.59,3730,16.6,2925
2021-09-29 11:12:18.633560-04:00,18.17,2447,18.18,417,16.59,3730,16.6,2925
2021-09-29 11:12:25.444202-04:00,18.18,1484,18.19,1115,16.59,3730,16.6,2925
2021-09-29 11:12:25.444202-04:00,18.18,1484,18.19,1115,16.59,4280,16.6,2894
2021-09-29 11:12:25.444202-04:00,18.18,1484,18.19,1115,16.59,4280,16.6,2894
2021-09-29 11:12:28.661594-04:00,18.18,1484,18.19,1115,16.59,4280,16.6,2894
2021-09-29 11:12:28.661594-04:00,18.18,1484,18.19,1115,16.59,4280,16.6,2894
2021-09-29 11:12:28.661594-04:00,18.18,1484,18.19,1115,16.59,4280,16.6,2894
2021-09-29 11:12:36.705090-04:00,18.18,1484,18.19,1115,16.59,4280,16.6,2894
