time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-10-01 10:44:02.176282-04:00,34.7,18.0,34.72,9.0,18.2,1041.0,18.21,1437.0,16.61,3856.0,16.62,2084.0,52.35,3.0,52.36,73.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:02.176282-04:00,34.7,18.0,34.72,9.0,18.2,1041.0,18.21,1437.0,16.61,31.0,16.62,4650.0,52.35,3.0,52.36,73.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:08.161288-04:00,34.67,74.0,34.71,51.0,18.2,1041.0,18.21,1437.0,16.61,31.0,16.62,4650.0,52.35,3.0,52.36,73.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:08.161288-04:00,34.67,74.0,34.71,51.0,18.2,1041.0,18.21,1437.0,16.61,31.0,16.62,4650.0,52.36,20.0,52.39,126.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:08.161288-04:00,34.67,74.0,34.71,51.0,18.19,1775.0,18.2,1142.0,16.61,31.0,16.62,4650.0,52.36,20.0,52.39,126.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,3.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:08.161288-04:00,34.67,74.0,34.71,51.0,18.19,1775.0,18.2,1142.0,16.61,31.0,16.62,4650.0,52.36,20.0,52.39,126.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:08.161288-04:00,34.67,74.0,34.71,51.0,18.19,1775.0,18.2,1142.0,16.61,1093.0,16.62,3144.0,52.36,20.0,52.39,126.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:19.191802-04:00,34.68,74.0,34.71,2.0,18.19,3085.0,18.2,399.0,16.61,1093.0,16.62,3144.0,52.35,19.0,52.38,90.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:25.207703-04:00,34.68,2.0,34.71,1.0,18.19,3085.0,18.2,399.0,16.61,1093.0,16.62,3144.0,52.35,19.0,52.38,90.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
2021-10-01 10:44:25.207703-04:00,34.68,2.0,34.71,1.0,18.19,3085.0,18.2,399.0,16.61,1093.0,16.62,3144.0,52.35,12.0,52.38,18.0,16.18,72.0,16.19,147.0,24.38,67.0,24.39,2.0,68.36,4.0,68.69,16.0
