time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2021-09-27 11:08:23.077648-04:00,17.81,3145,17.82,290,16.43,2412,16.44,3956,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.9155749636098981,0.3787688442211055,1,1,2,2,1,221,22111
2021-09-27 11:08:23.077648-04:00,17.81,3098,17.82,392,16.43,2412,16.44,3956,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.8876790830945559,0.3787688442211055,1,1,2,2,1,221,22111
2021-09-27 11:08:23.077648-04:00,17.81,3098,17.82,392,16.43,2238,16.44,3956,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.8876790830945559,0.36131740393929607,1,1,2,2,1,221,22111
2021-09-27 11:08:23.077648-04:00,17.81,3099,17.82,396,16.43,2238,16.44,3956,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.886695278969957,0.36131740393929607,1,1,2,2,1,221,21111
2021-09-27 11:08:39.099891-04:00,17.81,2444,17.82,1388,16.43,2238,16.44,3956,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6377870563674322,0.36131740393929607,1,1,2,1,1,211,21111
2021-09-27 11:08:49.115175-04:00,17.81,2444,17.82,1388,16.43,2170,16.44,3979,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6377870563674322,0.3529029110424459,1,1,2,1,1,211,21011
2021-09-27 11:08:53.119472-04:00,17.81,2444,17.82,1388,16.43,1951,16.44,3991,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6377870563674322,0.3283406260518344,1,1,2,1,0,210,21011
2021-09-27 11:08:53.119472-04:00,17.81,1582,17.82,933,16.43,1951,16.44,3991,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6290258449304175,0.3283406260518344,1,1,2,1,0,210,21011
2021-09-27 11:09:05.135343-04:00,17.81,1582,17.82,933,16.43,1751,16.44,3978,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6290258449304175,0.3056379821958457,1,1,2,1,0,210,22011
2021-09-27 11:09:05.135343-04:00,17.81,1623,17.82,726,16.43,1751,16.44,3978,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.6909323116219668,0.3056379821958457,1,1,2,2,0,220,22011
2021-09-27 11:09:18.167501-04:00,17.81,3182,17.82,240,16.43,1751,16.44,3978,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.9298655756867329,0.3056379821958457,1,1,2,2,0,220,22121
2021-09-27 11:09:18.167501-04:00,17.81,3182,17.82,240,16.43,2490,16.44,3745,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0005611672425605008,0.010000000000001563,0.0,0.9298655756867329,0.3993584603047314,2,1,2,2,1,221,30111
2021-09-27 11:09:27.178411-04:00,17.82,632,17.83,2915,16.43,2490,16.44,3745,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.17817874259937977,0.3993584603047314,1,1,3,0,1,301,30111
2021-09-27 11:09:29.181057-04:00,17.82,632,17.83,2915,16.43,2277,16.44,3411,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.17817874259937977,0.40031645569620256,1,1,3,0,1,301,30011
2021-09-27 11:09:29.181057-04:00,17.82,632,17.83,2915,16.43,541,16.44,3831,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.17817874259937977,0.1237419945105215,1,1,3,0,0,300,30001
2021-09-27 11:09:39.449603-04:00,17.82,316,17.83,3224,16.43,541,16.44,3831,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,-0.0005611672425605008,-0.010000000000001563,0.0,0.08926553672316384,0.1237419945105215,0,1,3,0,0,300,20011
2021-09-27 11:09:49.207513-04:00,17.81,1282,17.82,2672,16.43,541,16.44,3831,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.3242286292362165,0.1237419945105215,1,1,2,0,0,200,20011
2021-09-27 11:09:49.207513-04:00,17.81,1282,17.82,2672,16.43,1881,16.44,3834,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.3242286292362165,0.3291338582677165,1,1,2,0,0,200,20011
2021-09-27 11:09:49.207513-04:00,17.81,1196,17.82,2451,16.43,1881,16.44,3834,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,0.0,0.0,0.0,0.327940773238278,0.3291338582677165,1,1,2,0,0,200,20001
2021-09-27 11:09:58.219419-04:00,17.81,1196,17.82,2451,16.43,281,16.44,3602,17.814999999999998,16.435000000000002,2.880040799057799,2.799413207116183,2.87976009730157,2.799108932049177,2.8803214220426634,2.799717389628034,-0.0006077868786911189,-0.0005614823280581938,-0.00999999999999801,0.0,0.327940773238278,0.0723667267576616,0,1,2,0,0,200,10010
2021-09-27 11:10:09.233971-04:00,17.8,1308,17.81,3032,16.43,281,16.44,3602,17.805,16.435000000000002,2.879479316729741,2.799413207116183,2.8791984572980396,2.799108932049177,2.87976009730157,2.799717389628034,-0.0011692692067493127,0.001163011135417058,0.0,-0.010000000000001563,0.3013824884792627,0.0723667267576616,1,0,1,0,0,100,40211
2021-09-27 11:10:09.233971-04:00,17.8,1308,17.81,3032,16.42,6422,16.43,2416,17.805,16.425,2.879479316729741,2.7988045643706743,2.8791984572980396,2.7985001040242823,2.87976009730157,2.799108932049177,-6.258071332254644e-06,0.0,0.0,0.0,0.3013824884792627,0.7266349852907897,1,1,4,0,2,402,40211
2021-09-27 11:10:09.234968-04:00,17.8,1308,17.81,3032,16.42,5947,16.43,2298,17.805,16.425,2.879479316729741,2.7988045643706743,2.8791984572980396,2.7985001040242823,2.87976009730157,2.799108932049177,-6.258071332254644e-06,0.0,0.0,0.0,0.3013824884792627,0.7212856276531231,1,1,4,0,2,402,42221
